city,lat,lng,country,iso2,admin_name,population,population_proper
Kech,34.5956,66.8711,Pakistan,PK,Khyber Pakhtunkhwa,1060931.0,1060931.0
Diamer,16.5167,-16.2833,Pakistan,PK,Gilgit Baltistan,323643.0,323643.0
Mirpur,25.5333,69.0,Pakistan,PK,Azad Kashmir,1651018.0,1651018.0
Kohala,31.0667,72.8333,Pakistan,PK,Azad Kashmir,8500.0,8500.0
Sheikhupura,31.7131,73.9783,Pakistan,PK,Punjab,591424.0,591424.0
Vehari,30.0333,72.35,Pakistan,PK,Punjab,130692.0,130692.0
Sadiqabad,28.3,70.1333,Pakistan,PK,Punjab,1381759.0,1381759.0
Tando Jam,25.4333,68.5333,Pakistan,PK,Sindh,74303.0,74303.0
Tando Adam,25.7667,68.6667,Pakistan,PK,Sindh,174291.0,174291.0
Murree,33.9,73.4,Pakistan,PK,Punjab,372947.0,372947.0
Gujar Khan,33.2667,73.3167,Pakistan,PK,Punjab,781578.0,781578.0
